eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
AL015,21352,28802,33828,24148,24611,29337,22556,13843,3610
AL02,132417,149148,205079,161634,134875,153782,124321,74068,21198
AL021,31453,38691,43807,29749,33457,40376,30683,19090,5141
AL022,100964,110457,161272,131885,101418,113406,93638,54978,16057
AL03,89357,122029,138706,105883,108631,129984,102455,62003,16021
AL031,13137,17702,19146,13820,15689,19111,14488,8994,2377
AL032,31351,40748,46634,34809,36421,43564,33268,20639,5564
AL033,5596,8764,9319,6684,7397,9731,7830,4809,1188
AL034,21283,30504,33648,25137,25449,30081,23879,14256,3528
AL035,17990,24311,29959,25433,23675,27497,22990,13305,3364
ALX,0,0,0,0,0,0,0,0,0
ALXX,0,0,0,0,0,0,0,0,0
ALXXX,0,0,0,0,0,0,0,0,0
RS,654145,694332,804338,958562,971473,944645,1021979,595246,319044
RS1,351951,340407,408246,524580,505885,474533,502736,288908,151584
RS11,176214,154666,191777,264724,247229,212884,234769,135081,74575
RS110,176214,154666,191777,264724,247229,212884,234769,135081,74575
RS12,175737,185741,216469,259856,258656,261649,267967,153827,77009
RS121,14136,16647,18986,22000,23555,25972,26504,16015,8295
RS122,25645,28476,31995,37250,38833,38737,41992,23815,11613
RS123,64603,62333,74425,95180,88525,81519,81861,46563,23569
RS124,11621,13655,15864,17651,18451,20428,20385,12308,5820
RS125,16170,17953,20850,25120,25010,25388,25793,15193,7376
RS126,15923,17534,20232,22381,23725,25882,26334,15180,7541
RS127,27639,29143,34117,40274,40557,43723,45098,24753,12795
RS2,302194,353925,396092,433982,465588,470112,519243,306338,167460
RS21,174379,200728,218297,243346,260406,265998,296941,163749,93011
RS211,23770,27476,29894,32148,35368,39872,41980,23589,12929
RS212,13693,15723,18119,20326,21835,24500,25654,14082,8955
RS213,25182,28903,31002,35154,38489,41038,44465,22772,11938
RS214,17496,19447,21459,24639,26896,28549,32306,17356,11182
RS215,16309,19419,22823,24334,26661,26573,31445,19613,11469
RS216,17964,22090,24412,26640,31241,30078,36778,21621,12083
RS217,34820,40028,38737,41163,41428,37820,38701,20982,11128
RS218,25145,27642,31851,38942,38488,37568,45612,23734,13327
RS22,127815,153197,177795,190636,205182,204114,222302,142589,74449
RS221,8638,10468,12331,12949,15250,15826,18402,12587,5634
RS222,13171,16848,19499,19894,23288,21495,25810,17736,9036
RS223,7619,9163,10608,12181,14126,14529,18323,13434,6934
RS224,17236,21162,24055,24852,27597,28525,28791,18245,9483
RS225,32119,34018,41705,49851,50266,47962,52598,34183,18744
RS226,6334,7474,8717,10161,11066,12325,13524,9112,5531
RS227,16158,19751,22196,23943,25615,24819,29535,15493,8440
RS228,19074,25503,28575,27169,26937,26855,23206,13418,6234
RS229,7466,8810,10109,9636,11037,11778,12113,8381,4413
TR,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525
TR1,2253985,2163217,2446655,2769732,2308322,1579364,920333,427673,198443
TR10,2253985,2163217,2446655,2769732,2308322,1579364,920333,427673,198443
TR100,2253985,2163217,2446655,2769732,2308322,1579364,920333,427673,198443
TR2,421325,440060,522452,539066,511000,475236,371297,196002,93114
