key,all,male,female,age_00_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_and_older
PE_AYA_0301,3927,1890,2037,788,692,452,529,491,388,303,188,95
PE_AYA_0302,2579,1240,1339,517,454,297,347,322,255,200,124,63
PE_AYA_0303,1852,894,957,369,325,215,249,231,183,144,90,46
PE_AYA_0304,2818,1355,1463,565,497,324,380,352,278,218,135,69
PE_AYA_0401,62980,31113,31867,15466,12727,9414,8031,6497,4861,3278,1737,969
PE_AYA_0402,23836,11771,12065,5851,4818,3561,3035,2459,1842,1244,658,368
PE_AYA_0403,5379,2655,2724,1316,1086,808,688,555,415,280,148,83
PE_AYA_0404,4097,2021,2076,1006,828,612,521,422,317,214,113,63
PE_AYA_0405,5865,2894,2971,1443,1186,874,745,605,454,307,162,91
PE_AYA_0406,6654,3285,3369,1634,1345,994,847,686,514,347,184,103
PE_AYA_0407,15412,7632,7780,3771,3105,2306,1975,1601,1193,802,424,235
PE_AYA_0408,16338,8080,8257,4005,3298,2452,2087,1689,1261,848,448,250
PE_AYA_0409,4846,2401,2445,1190,979,731,620,501,372,249,131,73
